,item_number,condition_answer,condition,condition_context,helpfulness,posterior,prior,helpfulness_mean,helpfulness_stdev,helpfulness_range,posterior_mean,posterior_stdev,posterior_range,prior_mean,prior_stdev,prior_range,kl,kl_exp,entropy_reduction,answer,context
30,1,exhaustive-answer,context-positive-bias answer-exhaustive-answer,positive-bias,"[1.0, 1.0, 0.9703]","[0.9727236035000001, 0.9930794273, 0.9846660505]","[0.8230499833, 0.9868558115, 0.3901524002]",0.9901,0.014000714267493617,0.02969999999999995,0.9834896937666667,0.008351756382829681,0.020355823799999895,0.7333527316666667,0.25172463523619665,0.5967034113,0.5265725839064833,0.7025407928085929,0.49576778508400793,It'll be in the ballroom.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors."
33,1,high-certainty,context-positive-bias answer-high-certainty,positive-bias,"[0.3028, 0.1655, 0.7782]","[0.9076024472, 0.9779555659, 0.8425952447]","[0.8230499833, 0.9868558115, 0.3901524002]",0.41550000000000004,0.26252147848636437,0.6127,0.9093844192666666,0.0552749835349083,0.13536032119999997,0.7333527316666667,0.25172463523619665,0.5967034113,0.13001821825577628,0.2587208553325493,0.2759358035927843,It's going to rain this afternoon.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors."
36,1,low-certainty,context-positive-bias answer-low-certainty,positive-bias,"[0.23240000000000002, 0.7268, 0.0]","[0.1072512095, 0.9826930499000001, 0.8545118188]","[0.8230499833, 0.9868558115, 0.3901524002]",0.31973333333333337,0.3030730311694233,0.7268,0.6481520260666668,0.38603788848889176,0.8754418404000001,0.7333527316666667,0.25172463523619665,0.5967034113,0.016636227157710085,0.03758192050651221,-0.06868756083041738,It's going to be cloudy this afternoon.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors."
39,1,non-answer,context-positive-bias answer-non-answer,positive-bias,"[0.0, 0.0, 0.243]","[0.9357495327, 0.2627250894, 0.6605903346]","[0.8230499833, 0.9868558115, 0.3901524002]",0.081,0.11455129855222068,0.243,0.6196883189000001,0.27627909377543214,0.6730244433000001,0.7333527316666667,0.25172463523619665,0.5967034113,0.028827090347035803,0.06422183004796111,-0.08432095626565816,There are supposed to be 100 guests.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors."
42,1,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,"[0.8803000000000001, 0.8021, 0.1577]","[0.9377889286000001, 0.5160469378, 0.5035999654000001]","[0.8230499833, 0.9868558115, 0.3901524002]",0.6133666666666667,0.3237827392283632,0.7226000000000001,0.6524786106,0.2018088451124437,0.4341889632,0.7333527316666667,0.25172463523619665,0.5967034113,0.0150563919407381,0.034074551908955586,-0.06600321778992946,It'll be indoors if they need to use the sound system.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors."
45,2,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,"[1.0, 1.0, 1.0]","[0.9650855772, 0.994618066, 0.9993034690000001]","[0.655494785, 0.9796762458, 0.7817596106]",1.0,0.0,0.0,0.9863357040666667,0.01514736873090891,0.03421789180000012,0.8056435471333333,0.13341973042458077,0.3241814608,0.35297211734502,0.5563628745097478,0.4202476529235576,We're having hamburgers and french fries.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Tuesday, which has been hamburger night the last couple weeks. "
48,2,high-certainty,context-low-bias answer-high-certainty,low-bias,"[0.7406, 0.6805, 0.5599000000000001]","[1.0, 0.2401089129, 0.9841711349000001]","[0.655494785, 0.9796762458, 0.7817596106]",0.6603333333333333,0.07513606916048302,0.18069999999999997,0.7414266826000001,0.354544090258015,0.7598910871,0.8056435471333333,0.13341973042458077,0.3241814608,0.0114349408656082,0.025986314265710075,-0.07908079328287376,There are hamburger buns in the kitchen.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Tuesday, which has been hamburger night the last couple weeks. "
51,2,low-certainty,context-low-bias answer-low-certainty,low-bias,"[0.2606, 0.7049000000000001, 0.9858]","[0.9839631259, 0.8494973936, 0.9506889372, 0.8069187223000001]","[0.655494785, 0.9796762458, 0.7817596106]",0.6504333333333333,0.298556218417161,0.7252000000000001,0.8977670447499999,0.07213506085848374,0.17704440359999996,0.8056435471333333,0.13341973042458077,0.3241814608,0.037635914527446385,0.08301108557022374,0.16251680457769802,There is ground beef in the kitchen.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Tuesday, which has been hamburger night the last couple weeks. "
54,2,non-answer,context-low-bias answer-non-answer,low-bias,"[0.007, 0.0, 0.0]","[0.5139479893, 0.811090504, 0.811090504]","[0.655494785, 0.9796762458, 0.7817596106]",0.0023333333333333335,0.003299831645537222,0.007,0.7120429991,0.14007432474879564,0.2971425147000001,0.8056435471333333,0.13341973042458077,0.3241814608,0.023094585193513095,0.05178807069789082,-0.10783370118122215,We're having ice cream for dessert.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Tuesday, which has been hamburger night the last couple weeks. "
57,2,reductive-answer,context-low-bias answer-reductive-answer,low-bias,"[0.1733, 0.0, 0.3662]","[0.9501629585, 0.6047328653, 0.9040646508]","[0.655494785, 0.9796762458, 0.7817596106]",0.17983333333333337,0.14957188535580104,0.3662,0.8196534915333333,0.1531326661832741,0.34543009319999995,0.8056435471333333,0.13341973042458077,0.3241814608,0.0006510233585583624,0.001497913686329122,0.020560055330778426,We'll have hamburgers if Mom had a tough day at work.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Tuesday, which has been hamburger night the last couple weeks. "
60,2,exhaustive-answer,context-negative-bias answer-exhaustive-answer,negative-bias,"[1.0, 1.0, 1.0]","[0.6047328653, 0.9784728899, 0.3632085755]","[0.0527715528, 0.2509415279, 0.2249907586]",1.0,0.0,0.0,0.6488047769,0.2531064258206867,0.6152643144000001,0.17623461310000002,0.08794204929306773,0.1981699751,0.472606486741426,0.6631833800622997,-0.18254783236620942,We're having hamburgers and french fries.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy""."
63,2,high-certainty,context-negative-bias answer-high-certainty,negative-bias,"[0.20770000000000002, 0.027700000000000002, 0.8926000000000001]","[0.655494785, 0.6546436004, 0.3930735173]","[0.0527715528, 0.2509415279, 0.2249907586]",0.37600000000000006,0.3726094201707735,0.8649,0.5677373009000001,0.12350643466342565,0.2624212677,0.17623461310000002,0.08794204929306773,0.1981699751,0.3250402011494717,0.5268925369994153,-0.21830665947307215,There are hamburger buns in the kitchen.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy""."
66,2,low-certainty,context-negative-bias answer-low-certainty,negative-bias,"[0.9175000000000001, 0.5758, 0.21130000000000002]","[0.7326931006, 0.4211667689, 0.5020999931, 0.7598910871]","[0.0527715528, 0.2509415279, 0.2249907586]",0.5682,0.28835502423228215,0.7062,0.6039627374250001,0.14549531042781894,0.3387243182,0.17623461310000002,0.08794204929306773,0.1981699751,0.38623966945646243,0.5890771131039949,-0.20573660505179192,There is ground beef in the kitchen.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy""."
69,2,non-answer,context-negative-bias answer-non-answer,negative-bias,"[0.035, 0.0, 0.0]","[0.18237839390000002, 0.0929117349, 0.0]","[0.0527715528, 0.2509415279, 0.2249907586]",0.011666666666666667,0.016499158227686113,0.035,0.09176337626666668,0.07446009529069449,0.18237839390000002,0.17623461310000002,0.08794204929306773,0.1981699751,0.03459591369147283,0.07656977314690894,0.15903679943023152,We're having ice cream for dessert.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy""."
72,2,reductive-answer,context-negative-bias answer-reductive-answer,negative-bias,"[0.7445, 0.8908, 0.3486]","[0.2766835298, 0.49985, 0.1380997494]","[0.0527715528, 0.2509415279, 0.2249907586]",0.6613,0.22903695480569652,0.5422,0.30487775973333336,0.1490234811552438,0.3617502506,0.17623461310000002,0.08794204929306773,0.1981699751,0.0432804857046039,0.09485217058400819,-0.1493051835217506,We'll have hamburgers if Mom had a tough day at work.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy""."
75,2,exhaustive-answer,context-positive-bias answer-exhaustive-answer,positive-bias,"[1.0, 1.0, 1.0]","[0.9980284088, 0.9975035010000001, 0.9930794273]","[0.8571983958, 0.7987046736000001, 0.8100509394000001]",1.0,0.0,0.0,0.9962037790333333,0.0022196189409915365,0.004948981500000005,0.8219846696,0.02532705169797023,0.05849372219999993,0.5269685206008263,0.7028118562228723,0.4434224666205965,We're having hamburgers and french fries.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which is usually hamburger night."
78,2,high-certainty,context-positive-bias answer-high-certainty,positive-bias,"[0.7044, 0.6577000000000001, 0.6247]","[0.9566935106000001, 0.9976078065, 0.8782178236]","[0.8571983958, 0.7987046736000001, 0.8100509394000001]",0.6622666666666667,0.032697230599683644,0.0797,0.9441730469,0.049538291671950355,0.11938998290000002,0.8219846696,0.02532705169797023,0.05849372219999993,0.0925118928542334,0.19185720162248143,0.2530432748516208,There are hamburger buns in the kitchen.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which is usually hamburger night."
81,2,low-certainty,context-positive-bias answer-low-certainty,positive-bias,"[0.0915, 0.19010000000000002, 0.757]","[0.9084567105, 1.0, 0.7548147423]","[0.8571983958, 0.7987046736000001, 0.8100509394000001]",0.3462,0.29325525854904405,0.6655,0.8877571509333334,0.10116094922793194,0.2451852577,0.8219846696,0.02532705169797023,0.05849372219999993,0.01882804608616244,0.04242686366420034,0.11719164262097798,There is ground beef in the kitchen.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which is usually hamburger night."
84,2,non-answer,context-positive-bias answer-non-answer,positive-bias,"[0.0, 0.0, 0.0]","[1.0, 0.9674405067, 0.8978046869]","[0.8571983958, 0.7987046736000001, 0.8100509394000001]",0.0,0.0,0.0,0.9550817312,0.04262647849866955,0.10219531309999996,0.8219846696,0.02532705169797023,0.05849372219999993,0.12177208240687408,0.2445113961960529,0.2850992901308735,We're having ice cream for dessert.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which is usually hamburger night."
87,2,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,"[0.0824, 0.0, 0.0352]","[0.2374592582, 0.9895937076, 0.9475654544000001]","[0.8571983958, 0.7987046736000001, 0.8100509394000001]",0.039200000000000006,0.03375835699003532,0.0824,0.7248728067333333,0.3450802505574154,0.7521344494,0.8219846696,0.02532705169797023,0.05849372219999993,0.02584303228624235,0.057769913362483605,-0.11992138166827548,We'll have hamburgers if Mom had a tough day at work.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which is usually hamburger night."
90,3,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,"[1.0, 1.0, 1.0]","[1.0, 0.9856375379000001, 1.0]","[0.5052498928, 0.5211429936, 0.5034499696]",1.0,0.0,0.0,0.9952125126333334,0.0067705295636298155,0.014362462099999918,0.5099476186666667,0.007950356210254837,0.017693024000000057,1.927235067221719,0.9881759860678178,0.6625996897003865,He's married to his high school sweetheart.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward."
93,3,high-certainty,context-low-bias answer-high-certainty,low-bias,"[0.8239000000000001, 1.0, 0.1786]","[0.9566935106000001, 0.8646292932, 0.9907352684]","[0.5052498928, 0.5211429936, 0.5034499696]",0.6675,0.35310075049481277,0.8214,0.9373526907333334,0.053268062539836444,0.1261059752,0.5099476186666667,0.007950356210254837,0.017693024000000057,0.6976021789217384,0.7993691001193316,0.4587588627096515,He's wearing a ring.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward."
96,3,low-certainty,context-low-bias answer-low-certainty,low-bias,"[0.0, 0.1562, 0.0]","[0.8028284593, 0.6098475998, 0.9100704740000001]","[0.5052498928, 0.5211429936, 0.5034499696]",0.05206666666666667,0.07363338614755914,0.1562,0.7742488443666667,0.12422034009648734,0.30022287420000004,0.5099476186666667,0.007950356210254837,0.017693024000000057,0.16688266064630256,0.31904668357216337,0.15885803191786285,He lives in the suburbs.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward."
99,3,non-answer,context-low-bias answer-non-answer,low-bias,"[0.0, 0.0, 0.0363]","[0.5723173442, 0.6006319167, 0.4090649328, 0.3494780601]","[0.5052498928, 0.5211429936, 0.5034499696]",0.0121,0.01711198410471445,0.0363,0.48287306345000003,0.10619474321551169,0.25115385660000006,0.5099476186666667,0.007950356210254837,0.017693024000000057,0.0014666873070243898,0.0033714760969575375,0.00038885539740551867,He works in the IT department.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward."
102,3,reductive-answer,context-low-bias answer-reductive-answer,low-bias,"[0.0317, 0.0, 0.6761]","[0.0322285651, 0.41068500350000003, 0.045504273500000005]","[0.5052498928, 0.5211429936, 0.5034499696]",0.23593333333333333,0.31151376998278724,0.6761,0.16280594736666668,0.17536073479268316,0.37845643840000004,0.5099476186666667,0.007950356210254837,0.017693024000000057,0.3197877808109119,0.5211359666173925,0.24865563050875472,He's not engaged.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward."
105,3,exhaustive-answer,context-negative-bias answer-exhaustive-answer,negative-bias,"[1.0, 1.0, 0.993]","[0.8444127543000001, 0.8600682321, 0.9762286129000001]","[0.15761915140000002, 0.5498578075, 0.3646461506]",0.9976666666666666,0.003299831645537225,0.007000000000000006,0.8935698664333334,0.058796965748622795,0.1318158586,0.35737436983333337,0.16021329518576657,0.39223865609999997,0.8279757743691736,0.8513981467568573,0.31290656808367023,He's married to his high school sweetheart.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, you saw him come to company picnic last week without a plus-one."
108,3,high-certainty,context-negative-bias answer-high-certainty,negative-bias,"[0.9152, 0.9126000000000001, 0.8063]","[0.7139674395000001, 0.8553406796, 0.9837959611]","[0.15761915140000002, 0.5498578075, 0.3646461506]",0.8780333333333333,0.05073423126669235,0.1089,0.8510346933999999,0.11019910436743229,0.2698285215999999,0.35737436983333337,0.16021329518576657,0.39223865609999997,0.6293389015264306,0.7652199998976936,0.23098242336123948,He's wearing a ring.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, you saw him come to company picnic last week without a plus-one."
111,3,low-certainty,context-negative-bias answer-low-certainty,negative-bias,"[0.0, 0.1129, 0.0]","[0.6655249299, 0.4653807963, 0.6073649224000001]","[0.15761915140000002, 0.5498578075, 0.3646461506]",0.03763333333333333,0.05322157039730748,0.1129,0.5794235495333333,0.08406330468513688,0.2001441336,0.35737436983333337,0.16021329518576657,0.39223865609999997,0.09973106974938697,0.20517973727647854,-0.02858485656861154,He lives in the suburbs.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, you saw him come to company picnic last week without a plus-one."
114,3,non-answer,context-negative-bias answer-non-answer,negative-bias,"[0.036000000000000004, 0.0, 0.0]","[0.2313186575, 0.20545227370000002, 0.5086995122, 0.0959353492]","[0.15761915140000002, 0.5498578075, 0.3646461506]",0.012000000000000002,0.01697056274847714,0.036000000000000004,0.26035144815,0.15212349982788437,0.41276416299999996,0.35737436983333337,0.16021329518576657,0.39223865609999997,0.022837450978048776,0.05122649339506369,0.0784683245794433,He works in the IT department.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, you saw him come to company picnic last week without a plus-one."
117,3,reductive-answer,context-negative-bias answer-reductive-answer,negative-bias,"[0.2306, 0.2853, 0.5]","[0.10103652090000001, 0.0091971562, 0.0237713871]","[0.15761915140000002, 0.5498578075, 0.3646461506]",0.33863333333333334,0.11626814792634405,0.2694,0.04466835473333334,0.04029995590838231,0.09183936470000001,0.35737436983333337,0.16021329518576657,0.39223865609999997,0.4883680092375281,0.6751880559979817,0.4693858629263617,He's not engaged.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, you saw him come to company picnic last week without a plus-one."
120,3,exhaustive-answer,context-positive-bias answer-exhaustive-answer,positive-bias,"[1.0, 1.0, 1.0]","[0.9976078065, 1.0, 0.950360474]","[0.7416996250000001, 0.8741463949, 0.7884318543000001]",1.0,0.0,0.0,0.9826560935,0.022857324524127864,0.04963952599999999,0.8014259580666668,0.05484628072324842,0.13244676989999993,0.3207237895409121,0.522166922039196,0.41090552401523284,He's married to his high school sweetheart.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children."
123,3,high-certainty,context-positive-bias answer-high-certainty,positive-bias,"[0.7523000000000001, 0.8944000000000001, 0.6379]","[1.0, 0.9724658850000001, 0.8849711408000001]","[0.7416996250000001, 0.8741463949, 0.7884318543000001]",0.7615333333333334,0.10491902697901,0.25650000000000006,0.9524790086000001,0.04904090832074118,0.11502885919999994,0.8014259580666668,0.05484628072324842,0.13244676989999993,0.14557238157796948,0.28479981451302827,0.3072690345994968,He's wearing a ring.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children."
126,3,low-certainty,context-positive-bias answer-low-certainty,positive-bias,"[0.0, 0.2696, 0.31870000000000004]","[0.7686813425, 0.9779555659, 0.7479015294]","[0.7416996250000001, 0.8741463949, 0.7884318543000001]",0.19610000000000002,0.14010498444618832,0.31870000000000004,0.8315128126000001,0.10389757826398466,0.2300540365,0.8014259580666668,0.05484628072324842,0.13244676989999993,0.0030903301861536538,0.007090491225683948,0.0449399332557921,He lives in the suburbs.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children."
129,3,non-answer,context-positive-bias answer-non-answer,positive-bias,"[0.0, 0.0, 0.0]","[0.6522289721, 0.7092552459, 0.6243858669]","[0.7416996250000001, 0.8741463949, 0.7884318543000001]",0.0,0.0,0.0,0.6619566949666666,0.03532397030430765,0.08486937900000002,0.8014259580666668,0.05484628072324842,0.13244676989999993,0.04758282519255069,0.10377475130717806,-0.14130981428053152,He works in the IT department.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children."
132,3,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,"[0.6831, 0.5506, 0.8521000000000001]","[0.8259627369, 0.5589473767, 0.0510955857]","[0.7416996250000001, 0.8741463949, 0.7884318543000001]",0.6952666666666666,0.1233871504204911,0.3015000000000001,0.4786685664333334,0.32139102978103845,0.7748671512,0.8014259580666668,0.05484628072324842,0.13244676989999993,0.22137382197951977,0.3993435043281963,-0.1938175838705573,He's not engaged.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children."
135,4,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,"[1.0, 1.0, 1.0]","[0.9049327538, 1.0, 0.8770603342000001]","[0.039464894300000004, 0.1047102667, 0.078338947]",1.0,0.0,0.0,0.9273310293333333,0.0526295380745088,0.12293966579999993,0.07417136933333333,0.0267988330916285,0.0652453724,2.1686733876466704,0.9932184867856011,0.0038090596594984594,She was born and raised in Madrid.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city where they don't speak English, but where?"
138,4,high-certainty,context-low-bias answer-high-certainty,low-bias,"[0.1169, 0.6549, 0.21480000000000002]","[0.9051925281000001, 0.7643012168000001, 0.7092552459]","[0.039464894300000004, 0.1047102667, 0.078338947]",0.3288666666666667,0.2339792061036384,0.538,0.7929163302666667,0.08251049702113976,0.19593728220000006,0.07417136933333333,0.0267988330916285,0.0652453724,1.2107525472892124,0.9384472511366094,-0.24576930562066562,She's from Spain.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city where they don't speak English, but where?"
